2026-05-22 10:27:58 | DEBUG    | yfinance                       | url=https://query2.finance.yahoo.com/v8/finance/chart/IRS
2026-05-22 10:27:58 | DEBUG    | yfinance                       | params=frozendict.frozendict({'period1': 1704085200, 'period2': 1706677200, 'interval': '1wk', 'includePrePost': False, 'events': 'div,splits,capitalGains'})
2026-05-22 10:27:58 | DEBUG    | yfinance                       |     Entering _get_cookie_and_crumb()
2026-05-22 10:27:58 | DEBUG    | yfinance                       | cookie_mode = 'basic'
2026-05-22 10:27:58 | DEBUG    | yfinance                       |      Entering _get_cookie_and_crumb_basic()
2026-05-22 10:27:58 | DEBUG    | yfinance                       |       Entering _get_cookie_basic()
2026-05-22 10:27:58 | DEBUG    | yfinance                       | reusing cookie
2026-05-22 10:27:58 | DEBUG    | yfinance                       |       Exiting _get_cookie_basic()
2026-05-22 10:27:58 | DEBUG    | yfinance                       |       Entering _get_crumb_basic()
2026-05-22 10:27:58 | DEBUG    | yfinance                       | reusing crumb
2026-05-22 10:27:58 | DEBUG    | yfinance                       |       Exiting _get_crumb_basic()
2026-05-22 10:27:58 | DEBUG    | yfinance                       |      Exiting _get_cookie_and_crumb_basic()
2026-05-22 10:27:58 | DEBUG    | yfinance                       |     Exiting _get_cookie_and_crumb()
2026-05-22 10:27:58 | DEBUG    | yfinance                       | response code=200
2026-05-22 10:27:58 | DEBUG    | yfinance                       |    Exiting _make_request()
2026-05-22 10:27:58 | DEBUG    | yfinance                       |   Exiting get()
2026-05-22 10:27:58 | DEBUG    | yfinance                       | IRS: yfinance received OHLC data: 2024-01-01 05:00:00 -> 2024-01-29 05:00:00
2026-05-22 10:27:58 | DEBUG    | yfinance                       | IRS: OHLC after cleaning: 2024-01-01 00:00:00-05:00 -> 2024-01-29 00:00:00-05:00
2026-05-22 10:27:58 | DEBUG    | yfinance                       | IRS: OHLC after combining events: 2024-01-01 00:00:00-05:00 -> 2024-01-29 00:00:00-05:00
2026-05-22 10:27:58 | DEBUG    | yfinance                       | IRS: yfinance returning OHLC: 2024-01-01 00:00:00-05:00 -> 2024-01-29 00:00:00-05:00
2026-05-22 10:27:58 | DEBUG    | yfinance                       |  Exiting history()
